token,token_lower,chapter_idx,count
i,i,0,1
с,с,0,18
конца,конца,0,1
1811,1811,0,2
го,го,0,2
года,года,0,2
началось,началось,0,1
усиленное,усиленное,0,1
вооружение,вооружение,0,1
и,и,0,81
сосредоточение,сосредоточение,0,1
сил,сил,0,1
западной,западной,0,2
европы,европы,0,3
в,в,0,30
1812,1812,0,2
году,году,0,3
силы,силы,0,3
эти,эти,0,7
миллионы,миллионы,0,6
людей,людей,0,13
считая,считая,0,1
тех,тех,0,4
которые,которые,0,8
перевозили,перевозили,0,1
кормили,кормили,0,1
армию,армию,0,1
двинулись,двинулись,0,1
запада,запада,0,3
на,на,0,14
восток,восток,0,3
к,к,0,6
границам,границам,0,1
россии,россии,0,5
которым,которым,0,1
точно,точно,0,2
так,так,0,9
же,же,0,7
стягивались,стягивались,0,1
двенадцатого,двенадцатого,0,1
июня,июня,0,1
перешли,перешли,0,1
границы,границы,0,1
началась,началась,0,1
война,война,0,1
т,т,0,3
е,е,0,2
совершилось,совершилось,0,3
противное,противное,0,1
человеческому,человеческому,0,1
разуму,разуму,0,1
всей,всей,0,1
человеческой,человеческой,0,1
природе,природе,0,1
событие,событие,0,10
совершали,совершали,0,1
друг,друг,0,3
против,против,0,2
друга,друга,0,3
такое,такое,0,2
бесчисленное,бесчисленное,0,2
количество,количество,0,3
злодеяний,злодеяний,0,1
обманов,обманов,0,1
измен,измен,0,1
воровства,воровства,0,1
подделок,подделок,0,1
выпуска,выпуска,0,1
фальшивых,фальшивых,0,1
ассигнаций,ассигнаций,0,1
грабежей,грабежей,0,1
поджогов,поджогов,0,1
убийств,убийств,0,1
которого,которого,0,1
целые,целые,0,1
века,века,0,1
не,не,0,30
соберет,соберет,0,1
летопись,летопись,0,1
всех,всех,0,2
судов,судов,0,1
мира,мира,0,3
этот,этот,0,1
период,период,0,1
времени,времени,0,5
люди,люди,0,3
совершавшие,совершавшие,0,1
их,их,0,4
смотрели,смотрели,0,1
как,как,0,14
преступления,преступления,0,1
что,что,0,41
произвело,произвело,0,2
это,это,0,5
необычайное,необычайное,0,1
какие,какие,0,1
были,были,0,8
причины,причины,0,4
его,его,0,13
историки,историки,0,1
наивной,наивной,0,1
уверенностью,уверенностью,0,1
говорят,говорят,0,1
причинами,причинами,0,1
этого,этого,0,3
события,события,0,4
обида,обида,0,1
нанесенная,нанесенная,0,1
герцогу,герцогу,0,1
ольденбургскому,ольденбургскому,0,2
несоблюдение,несоблюдение,0,2
континентальной,континентальной,0,2
системы,системы,0,2
властолюбие,властолюбие,0,2
наполеона,наполеона,0,7
твердость,твердость,0,1
александра,александра,0,3
ошибки,ошибки,0,1
дипломатов,дипломатов,0,1
п,п,0,1
следовательно,следовательно,0,2
стоило,стоило,0,1
только,только,0,5
меттерниху,меттерниху,0,1
румянцеву,румянцеву,0,1
или,или,0,8
талейрану,талейрану,0,1
между,между,0,1
выходом,выходом,0,1
раутом,раутом,0,1
хорошенько,хорошенько,0,1
постараться,постараться,0,1
написать,написать,0,2
поискуснее,поискуснее,0,1
бумажку,бумажку,0,1
наполеону,наполеону,0,3
александру,александру,0,1
monsieur,monsieur,0,1
mon,mon,0,1
frère,frère,0,1
je,je,0,1
consens,consens,0,1
à,à,0,1
rendre,rendre,0,1
le,le,0,2
duché,duché,0,1
au,au,0,1
duc,duc,0,1
d,d,0,1
oldenbourg562,oldenbourg562,0,1
войны,войны,0,10
бы,бы,0,17
было,было,0,18
понятно,понятно,0,4
таким,таким,0,1
представлялось,представлялось,0,2
дело,дело,0,2
современникам,современникам,0,2
казалось,казалось,0,10
причиной,причиной,0,7
интриги,интриги,0,1
англии,англии,0,3
он,он,0,8
говорил,говорил,0,1
острове,острове,0,1
св,св,0,1
елены,елены,0,1
членам,членам,0,1
английской,английской,0,1
палаты,палаты,0,1
принцу,принцу,0,1
совершенное,совершенное,0,2
него,него,0,2
насилие,насилие,0,1
купцам,купцам,0,1
была,была,0,4
континентальная,континентальная,0,1
система,система,0,1
разорявшая,разорявшая,0,1
европу,европу,0,1
старым,старым,0,1
солдатам,солдатам,0,1
генералам,генералам,0,1
главной,главной,0,1
необходимость,необходимость,0,1
употребить,употребить,0,1
легитимистам,легитимистам,0,1
того,того,0,10
то,то,0,7
необходимо,необходимо,0,3
восстановить,восстановить,0,1
les,les,0,1
bons,bons,0,1
principes,principes,0,1
563,563,0,1
а,а,0,4
дипломатам,дипломатам,0,1
всё,всё,0,2
произошло,произошло,0,1
от,от,0,8
союз,союз,0,1
австрией,австрией,0,1
1809,1809,0,1
был,был,0,3
достаточно,достаточно,0,1
искусно,искусно,0,1
скрыт,скрыт,0,1
неловко,неловко,0,1
написан,написан,0,1
memorandum,memorandum,0,1
за,за,0,4
178,178,0,1
еще,еще,0,1
бесконечное,бесконечное,0,1
причин,причин,0,10
которых,которых,0,7
зависит,зависит,0,1
бесчисленного,бесчисленного,0,1
различия,различия,0,1
точек,точек,0,1
зрения,зрения,0,1
но,но,0,4
для,для,0,20
нас,нас,0,4
потомков,потомков,0,2
созерцающих,созерцающих,0,2
во,во,0,2
всем,всем,0,3
объеме,объеме,0,1
громадность,громадность,0,1
совершившегося,совершившегося,0,1
вникающих,вникающих,0,1
простой,простой,0,1
страшный,страшный,0,1
смысл,смысл,0,1
представляются,представляются,0,3
недостаточными,недостаточными,0,1
непонятно,непонятно,0,1
чтобы,чтобы,0,8
христиан,христиан,0,1
убивали,убивали,0,2
мучали,мучали,0,1
потому,потому,0,5
наполеон,наполеон,0,4
властолюбив,властолюбив,0,1
александр,александр,0,3
тверд,тверд,0,1
политика,политика,0,1
хитра,хитра,0,1
герцог,герцог,0,3
ольденбургский,ольденбургский,0,2
обижен,обижен,0,2
нельзя,нельзя,0,1
понять,понять,0,1
какую,какую,0,1
связь,связь,0,1
имеют,имеют,0,2
обстоятельства,обстоятельства,0,1
самым,самым,0,2
фактом,фактом,0,1
убийства,убийства,0,1
насилия,насилия,0,1
почему,почему,0,1
вследствие,вследствие,0,1
тысячи,тысячи,0,2
другого,другого,0,1
края,края,0,1
разоряли,разоряли,0,1
смоленской,смоленской,0,1
московской,московской,0,1
губерний,губерний,0,1
убиваемы,убиваемы,0,1
ими,ими,0,1
историков,историков,0,1
увлеченных,увлеченных,0,1
процессом,процессом,0,1
изыскания,изыскания,0,1
незатемненным,незатемненным,0,1
здравым,здравым,0,1
смыслом,смыслом,0,1
неисчислимом,неисчислимом,0,1
количестве,количестве,0,1
чем,чем,0,6
больше,больше,0,3
мы,мы,0,3
углубляемся,углубляемся,0,1
изыскание,изыскание,0,1
тем,тем,0,6
нам,нам,0,3
открывается,открывается,0,1
всякая,всякая,0,1
отдельно,отдельно,0,1
взятая,взятая,0,1
причина,причина,0,2
целый,целый,0,1
ряд,ряд,0,1
одинаково,одинаково,0,3
справедливыми,справедливыми,0,1
сами,сами,0,2
по,по,0,9
себе,себе,0,3
ложными,ложными,0,2
своей,своей,0,2
ничтожности,ничтожности,0,1
сравнении,сравнении,0,1
громадностью,громадностью,0,1
недействительности,недействительности,0,1
без,без,0,3
участия,участия,0,1
других,других,0,4
совпавших,совпавших,0,2
произвести,произвести,0,2
совершившееся,совершившееся,0,1
такой,такой,0,1
отказ,отказ,0,1
отвести,отвести,0,1
свои,свои,0,1
войска,войска,0,1
вислу,вислу,0,2
отдать,отдать,0,1
назад,назад,0,2
герцогство,герцогство,0,1
ольденбургское,ольденбургское,0,1
представляется,представляется,0,1
желание,желание,0,1
нежелание,нежелание,0,1
первого,первого,0,1
французского,французского,0,2
капрала,капрала,0,1
поступить,поступить,0,2
вторичную,вторичную,0,2
службу,службу,0,3
ибо,ибо,0,1
ежели,ежели,0,4
захотел,захотел,0,4
итти,итти,0,2
