token,token_lower,chapter_idx,count
глава,глава,0,3
1,1,0,1
это,это,0,3
был,был,0,3
обычный,обычный,0,1
осенний,осенний,0,1
день,день,0,2
листья,листья,0,1
падали,падали,0,1
с,с,0,2
деревьев,деревьев,0,1
и,и,0,6
ветер,ветер,0,1
gently,gently,0,1
дул,дул,0,1
в,в,0,5
лицо,лицо,0,1
иван,иван,0,8
шёл,шёл,0,1
по,по,0,3
улице,улице,0,1
думал,думал,0,1
о,о,0,4
своём,своём,0,1
привет,привет,0,1
окликнул,окликнул,0,1
его,его,0,2
петр,петр,0,3
здравствуй,здравствуй,0,1
как,как,0,1
дела,дела,0,1
хорошо,хорошо,0,1
спасибо,спасибо,0,1
куда,куда,0,1
идёшь,идёшь,0,1
просто,просто,0,1
гуляю,гуляю,0,1
осень,осень,0,2
красивая,красивая,0,1
они,они,0,4
пошли,пошли,0,1
вместе,вместе,0,1
аллее,аллее,0,1
разговор,разговор,0,1
лёгким,лёгким,0,1
приятным,приятным,0,1
2,2,0,1
на,на,0,3
следующий,следующий,0,1
проснулся,проснулся,0,1
рано,рано,0,1
солнце,солнце,0,1
ещё,ещё,0,1
не,не,0,1
встало,встало,0,1
но,но,0,2
небо,небо,0,1
уже,уже,0,1
светлело,светлело,0,1
он,он,0,1
вышел,вышел,0,1
из,из,0,1
дома,дома,0,1
направился,направился,0,1
к,к,0,1
реке,реке,0,1
река,река,0,1
была,была,0,1
спокойной,спокойной,0,1
вода,вода,0,1
отражала,отражала,0,1
первые,первые,0,1
лучи,лучи,0,1
солнца,солнца,0,1
сел,сел,0,1
скамейку,скамейку,0,1
стал,стал,0,2
наблюдать,наблюдать,0,1
за,за,0,1
природой,природой,0,1
ты,ты,0,3
тоже,тоже,0,1
любишь,любишь,0,1
место,место,0,1
спросил,спросил,0,1
незнакомый,незнакомый,0,1
голос,голос,0,1
обернулся,обернулся,0,1
рядом,рядом,0,1
стояла,стояла,0,1
девушка,девушка,0,1
книгой,книгой,0,1
руках,руках,0,1
да,да,0,2
очень,очень,0,1
а,а,0,1
кто,кто,0,1
меня,меня,0,1
зовут,зовут,0,1
анна,анна,0,4
я,я,0,2
здесь,здесь,0,1
новая,новая,0,1
разговорились,разговорились,0,1
оказалась,оказалась,0,1
интересным,интересным,0,1
собеседником,собеседником,0,1
говорили,говорили,0,1
книгах,книгах,0,1
природе,природе,0,1
жизни,жизни,0,1
3,3,0,1
прошло,прошло,0,1
несколько,несколько,0,1
недель,недель,0,1
стали,стали,0,1
часто,часто,0,1
встречаться,встречаться,0,1
гуляли,гуляли,0,1
городу,городу,0,1
ходили,ходили,0,1
музеи,музеи,0,1
обсуждали,обсуждали,0,1
прочитанные,прочитанные,0,1
книги,книги,0,1
заметил,заметил,0,1
изменения,изменения,0,1
друге,друге,0,1
другим,другим,0,1
что,что,0,1
случилось,случилось,0,1
встретил,встретил,0,1
человека,человека,0,1
который,который,0,1
изменил,изменил,0,1
мой,мой,0,1
взгляд,взгляд,0,1
вещи,вещи,0,1
она,она,0,1
счастлив,счастлив,0,1
сменилась,сменилась,0,1
зимой,зимой,0,1
душе,душе,0,1
было,было,0,1
тепло,тепло,0,1
конец,конец,0,1
